There is No Collusion! The Robert Mueller Rigged Witch Hunt headed now by 17 (increased from 13 including an Obama White House lawyer) Angry Democrats was started by a fraudulent Dossier paid for by Crooked Hillary and the DNC. Therefore the Witch Hunt is an illegal Scam!,collusion ,,07-29-2018 19:35:14,30980,114106,,
...and the Amazon Washington Post do nothing but write bad stories even on very positive achievements - and they will never change!,news,,07-29-2018 19:09:19,14552,65238,,
...dying newspaper industry. No matter how much they try to distract and cover it up our country is making great progress under my leadership and I will never stop fighting for the American people! As an example the failing New York Times...,news,,07-29-2018 19:09:18,15158,67245,,
...accurately. 90% of media coverage of my Administration is negative despite the tremendously positive results we are achieving it’s no surprise that confidence in the media is at an all time low! I will not allow our great country to be sold out by anti-Trump haters in the...,news,,07-29-2018 19:09:18,13281,43060,,
When the media - driven insane by their Trump Derangement Syndrome - reveals internal deliberations of our government it  truly puts the lives of many not just journalists at risk! Very unpatriotic! Freedom of the press also comes with a responsibility to report the news...,news,,07-29-2018 19:09:17,22398,90381,,
I would be willing to “shut down” government if the Democrats do not give us the votes for Border Security which includes the Wall! Must get rid of Lottery Catch &amp; Release etc. and finally go to system of Immigration based on MERIT! We need great people coming into our Country!,border_security,,07-29-2018 13:13:59,34930,134982,,
The biggest and best results coming out of the good GDP report was that the quarterly Trade Deficit has been reduced by $52 Billion and of course the historically low unemployment numbers especially for African Americans Hispanics Asians and Women.,economy,,07-29-2018 12:42:52,21461,87919,,
Had a very good and interesting meeting at the White House with A.G. Sulzberger Publisher of the New York Times. Spent much time talking about the vast amounts of Fake News being put out by the media &amp; how that Fake News has morphed into phrase “Enemy of the People.” Sad!,news ,,07-29-2018 12:30:04,18393,74852,,
Please understand there are consequences when people cross our Border illegally whether they have children or not - and many are just using children for their own sinister purposes. Congress must act on fixing the DUMBEST &amp; WORST immigration laws anywhere in the world! Vote “R”,border_security,,07-29-2018 11:58:09,33018,126195,,
Do you think the Fake News Media will ever report on this tweet from Michael? https://t.co/kXLCKZO5Fr,news ,,07-29-2018 11:52:49,14209,49679,,
Wow highest Poll Numbers in the history of the Republican Party. That includes Honest Abe Lincoln and Ronald Reagan. There must be something wrong please recheck that poll!,election ,,07-29-2018 11:44:00,21863,101282,,
Tom Homan fmr ICE Director: “There is nobody that has done more for border security &amp; public safety than President Trump. I’ve worked for six presidents and I respect them all but nobody has done more than this Administration &amp; President Trump that’s just a stone cold fact!”,border_security  ,,07-29-2018 11:31:52,22454,86125,,
https://t.co/E3xvdUGZqa,border_security  ,,07-28-2018 16:37:29,23030,85063,,
Join me in Tampa Florida next Tuesday July 31st at 7:00pmE for a #MAGA Rally! Tickets: https://t.co/Q2PMyTACl8 https://t.co/URjvN8Owoe,make_america_great_again,,07-28-2018 01:53:48,15150,55209,,
The only things the Democrats do well is “Resist” which is their campaign slogan and “Obstruct.” Cryin’ Chuck Schumer has almost 400 great American people that are waiting “forever” to serve our Country! A total disgrace. Mitch M should not let them go home until all approved!,democrats ,,07-28-2018 00:47:58,30324,117809,,
Democrats who want Open Borders and care little about Crime are incompetent but they have the Fake News Media almost totally on their side!,democrats ,,07-27-2018 22:45:56,28917,118263,,
Congressman David Kustoff has been a champion for the Trump Agenda - I greatly appreciate his support. David is strong on crime and borders loves our Military Vets and Second Amendment. Get out and vote for David on Thursday August 2nd. He has my full and total Endorsement!,election,,07-27-2018 20:08:06,17685,72348,,
Private business investment has surged from 1.8 percent the year BEFORE I came into office to 9.4 percent this year -- that means Economy Economy Economy! https://t.co/evO63CpqPP,economy ,,07-27-2018 19:23:07,15992,59553,,
The @USNavy’s first female Admiral Alene Duerk once said: “It was a nice distinction to have and to be recognized as the first but I wanted to make certain that I used that notoriety to do as much positive as I could.” Alene did just that and America is forever grateful! https://t.co/tOqkzqGVG7,random_kindness,,07-27-2018 18:16:46,12544,54262,,
We have accomplished an economic turnaround of HISTORIC proportions! https://t.co/vnmMtPv0kk,economy ,,07-27-2018 16:20:37,17145,66948,,
I am thrilled to announce that in the second quarter of this year the U.S. Economy grew at the amazing rate of 4.1%! https://t.co/xeAPwAAOXN,economy,,07-27-2018 16:12:14,21856,89880,,
.@Troy_Balderson of Ohio is running for Congress - so important to the Republican Party. Cast you early vote or vote on August 7th. Troy is strong on crime and borders loves our Military our Vets and our Second Amendment. He has my full and total Endorsement!,election,,07-27-2018 15:58:45,12143,46975,,
.@JohnJamesMI who is running in the Republican Primary in the great state of Michigan is SPECTACULAR! Vote on August 7th. Rarely have I seen a candidate with such great potential. West Point graduate successful businessman and a African American leader...,election,,07-27-2018 15:53:20,19060,69832,,
...John is strong on crime and borders loves our Military our Vets and our Second Amendment. He will be a star. He has my full and total Endorsement!,election,,07-27-2018 15:53:20,12313,52615,,
GREAT GDP numbers just released. Will be having a news conference soon!,economy ,,07-27-2018 13:17:09,14763,78958,,
.....I did NOT know of the meeting with my son Don jr. Sounds to me like someone is trying to make up stories in order to get himself out of an unrelated jam (Taxi cabs maybe?). He even retained Bill and Crooked Hillary’s lawyer. Gee I wonder if they helped him make the choice!,collusion ,,07-27-2018 11:56:15,20448,86506,,
....the only Collusion with Russia was with the Democrats so now they are looking at my Tweets (along with 53 million other people) - the rigged Witch Hunt continues! How stupid and unfair to our Country....And so the Fake News doesn’t waste my time with dumb questions NO....,collusion ,,07-27-2018 11:38:32,22898,97836,,
Arrived back in Washington last night from a very emotional reopening of a major U.S. Steel plant in Granite City Illinois only to be greeted with the ridiculous news that the highly conflicted Robert Mueller and his gang of 13 Angry Democrats obviously cannot find Collusion...,collusion ,,07-27-2018 11:26:20,18875,82181,,
Way to go Jerry. This is what the league should do! https://t.co/yEP1jK57xi,random_kindness,,07-27-2018 10:56:17,12453,59145,,
The Remains of American Servicemen will soon be leaving North Korea and heading to the United States! After so many years this will be a great moment for so many families. Thank you to Kim Jong Un.,foreign_relations ,,07-27-2018 03:50:54,22883,104648,,
America is OPEN FOR BUSINESS and U.S. Steel is back! https://t.co/lJTcr6JHBW,economy ,,07-27-2018 02:37:00,21817,90332,,
...called “The Case Against Impeaching Trump” which I would encourage all people with Trump Derangement Syndrome to read!,random_kindness,,07-26-2018 22:48:40,14491,66685,,
.@AlanDersh a brilliant lawyer who although a Liberal Democrat who probably didn’t vote for me has discussed the Witch Hunt with great clarity and in a very positive way. He has written a new and very important book...,random_kindness,,07-26-2018 22:48:38,16620,72517,,
PROMISES KEPT! https://t.co/vR2R5WXPVD,economy ,,07-26-2018 21:43:13,17754,75302,,
Thank you @U_S_Steel and Granite City Illinois! https://t.co/6RsUvGF6rg,economy  ,,07-26-2018 21:12:45,10597,46989,,
The United States will impose large sanctions on Turkey for their long time detainment of Pastor Andrew Brunson a great Christian family man and wonderful human being. He is suffering greatly. This innocent man of faith should be released immediately!,foreign_relations ,,07-26-2018 15:22:39,33074,122047,,
This is great - on my way see you soon @IAGovernor Kim Reynolds! https://t.co/SXfkk12Uig,random_kindness ,,07-26-2018 14:52:18,8724,41122,,
Heading to Dubuque Iowa and then Granite City Illinois. Looking  forward to being with many great friends!,travel,,07-26-2018 14:11:30,11846,67787,,
Twitter “SHADOW BANNING” prominent Republicans. Not good. We will look into this discriminatory and illegal practice at once! Many complaints.,news ,,07-26-2018 11:46:09,50012,159336,,
European Union representatives told me that they would start buying soybeans from our great farmers immediately. Also they will be buying vast amounts of LNG!,foreign_relations ,,07-26-2018 01:07:28,20187,91415,,
Great to be back on track with the European Union. This was a big day for free and fair trade!,foreign_relations ,,07-26-2018 01:01:08,21558,105152,,
Thank you Georgia! They say that my endorsement last week of Brian Kemp in the Republican Primary for Governor against a very worthy opponent lifted him from 5 points down to a 70% to 30% victory! Two very good and talented men in a great race but congratulations to Brian!,election ,,07-26-2018 00:16:32,13577,69208,,
Obviously the European Union as represented by @JunckerEU and the United States as represented by yours truly love each other! https://t.co/42ImacgCN0,foreign_relations ,,07-25-2018 23:49:34,11938,52315,,
...along quickly. European Union Nations will be open to the United States and at the same time benefiting by everything we are doing for them. There was great warmth and feeling in the room - a breakthrough has been quickly made that nobody thought possible!,foreign_relations ,,07-25-2018 23:42:24,10781,49968,,
Great meeting on Trade today with @JunckerEU and representatives of the European Union. We have come to a very strong understanding and are all believers in no tariffs no barriers and no subsidies. Work on documents has already started and the process is moving...,foreign_relations ,,07-25-2018 23:42:23,13047,60093,,
Thank you very much working hard! https://t.co/cSzbFfq2NW,trump_admin ,,07-25-2018 22:59:35,23123,102265,,
Sergio Marchionne who passed away today was one of the most brilliant &amp; successful car executives since the days of the legendary Henry Ford. It was a great honor for me to get to know Sergio as POTUS he loved the car industry and fought hard for it. He will be truly missed!,random_kindness,,07-25-2018 22:45:49,11887,62064,,
This week my Administration is hosting the first-ever #IRFMinisterial. The U.S. will continue to promote #ReligiousFreedom around the world. Nations that support religious freedom are far more free prosperous &amp; peaceful. Great job @VP @SecPompeo @IRF_Ambassador &amp; @StateDept!,religion,,07-25-2018 22:33:01,12571,52335,,
The United States and the European Union have a $1 TRILLION bilateral trade relationship – the largest economic relationship in the world. We want to further strengthen this trade relationship to the benefit of all American and European citizens... https://t.co/4zlmEEtCpG,foreign_relations  ,,07-25-2018 20:57:24,18450,71234,,
Congratulations to Brian Kemp on your very big win in Georgia last night. Wow 69-30 those are big numbers. Now go win against the open border crime loving opponent that the Democrats have given you. She is weak on Vets the Military and the 2nd Amendment. Win!,election,,07-25-2018 12:41:14,18829,84793,,
What kind of a lawyer would tape a client? So sad! Is this a first never heard of it before? Why was the tape so abruptly terminated (cut) while I was presumably saying positive things? I hear there are other clients and many reporters that are taped - can this be so? Too bad!,collusion ,,07-25-2018 12:34:58,23931,109134,,
China is targeting our farmers who they know I love &amp; respect as a way of getting me to continue allowing them to take advantage of the U.S. They are being vicious in what will be their failed attempt. We were being nice - until now! China made $517 Billion on us last year.,foreign_relations  ,,07-25-2018 11:20:28,21332,82825,,
When you have people snipping at your heels during a negotiation it will only take longer to make a deal and the deal will never be as good as it could have been with unity. Negotiations are going really well be cool. The end result will be worth it!,foreign_relations  ,,07-25-2018 11:08:39,22458,102370,,
Every time I see a weak politician asking to stop Trade talks or the use of Tariffs to counter unfair Tariffs I wonder what can they be thinking? Are we just going to continue and let our farmers and country get ripped off?  Lost $817 Billion on Trade last year. No weakness!,foreign_relations ,,07-25-2018 11:01:05,21625,88799,,
“The Russia Hoax The Illicit Scheme To Clear Hillary Clinton &amp; Frame Donald Trump” is a Hot Seller already Number One! More importantly it is a great book that everyone is talking about. It covers the Rigged Witch Hunt brilliantly. Congratulations to Gregg Jarrett!,random_kindness,,07-25-2018 01:05:05,23880,86911,,
So sad and unfair that the FCC wouldn’t approve the Sinclair Broadcast merger with Tribune. This would have been a great and much needed Conservative voice for and of the People. Liberal Fake News NBC and Comcast gets approved much bigger but not Sinclair. Disgraceful!,news ,,07-25-2018 00:39:16,22482,87260,,
The European Union is coming to Washington tomorrow to negotiate a deal on Trade. I have an idea for them. Both the U.S. and the E.U. drop all Tariffs Barriers and Subsidies! That would finally be called Free Market and Fair Trade! Hope they do it we are ready - but they won’t!,foreign_relations ,,07-25-2018 00:08:01,31469,121472,,
Today it was my great honor to be in Kansas City Missouri to pay tribute to the men and women who make FREEDOM possible! Thank you @VFWHQ! #VFWConvention https://t.co/E6TYsNmWO8,random_kindness,,07-24-2018 22:33:30,12193,56779,,
On the heels of the VERY successful launch of the @WhiteHouse National Council for the American Worker Congress should reauthorize #PerkinsCTE and ensure the American workforce remains stronger than EVER! #Economy #Workforce,economy ,,07-24-2018 22:25:07,11093,52021,,
I want to thank the @VFWHQ for your devotion to our fallen heroes unknown soldiers Prisoners of War those Missing in Action and their families. #VFWConvention https://t.co/15ygFhCudR,random_kindness,,07-24-2018 19:15:36,11046,51332,,
#VFWConvention @VFWHQ https://t.co/dBQx526axz,travel ,,07-24-2018 17:51:28,8322,37744,,
I’m very concerned that Russia will be fighting very hard to have an impact on the upcoming Election. Based on the fact that no President has been tougher on Russia than me they will be pushing very hard for the Democrats. They definitely don’t want Trump!,election,,07-24-2018 15:50:37,24460,104844,,
MAKE AMERICA GREAT AGAIN!,make_america_great_again,,07-24-2018 13:54:19,32860,134635,,
Heading to Missouri to be with many of my great friends. VFW here we come!,travel,,07-24-2018 13:52:56,10760,65012,,
Our Country is doing GREAT. Best financial numbers on the Planet. Great to have USA WINNING AGAIN!,economy ,,07-24-2018 13:46:22,21333,102150,,
Today is the day to vote for Brian Kemp. Will be great for Georgia full Endorsement! https://t.co/yPND2bJ219,election,,07-24-2018 13:39:49,12037,49254,,
Tariffs are the greatest! Either a country which has treated the United States unfairly on Trade negotiates a fair deal or it gets hit with Tariffs. It’s as simple as that - and everybody’s talking! Remember we are the “piggy bank” that’s being robbed. All will be Great!,foreign_relations ,,07-24-2018 11:29:50,21582,94195,,
Countries that have treated us unfairly on trade for years are all coming to Washington to negotiate. This should have taken place many years ago butas the saying goes better late than never!,foreign_relations ,,07-24-2018 11:09:12,21414,100190,,
#MadeInAmerica Showcase! https://t.co/rT0WIE99yP,make_america_great_again,,07-24-2018 02:07:39,18251,72214,,
Lou Barletta was one of my first supporters. He is tough on Crime and Borders. Will be a great Senator from Pennsylvania. His opponent is WEAK on Crime ICE and Borders. We need Lou! https://t.co/dcMSi4CPfb,election ,,07-24-2018 01:44:06,16049,61053,,
Robert will do a great job for our Vets. We also recently won Choice! https://t.co/hE0GDuCBET,election,,07-24-2018 01:35:37,10996,54527,,
....In my opinion the Washington Post is nothing more than an expensive (the paper loses a fortune) lobbyist for Amazon. Is it used as protection against antitrust claims which many feel should be brought?,news ,,07-23-2018 13:35:20,18549,82618,,
The Amazon Washington Post has gone crazy against me ever since they lost the Internet Tax Case in the U.S. Supreme Court two months ago. Next up is the U.S. Post Office which they use at a fraction of real cost as their “delivery boy” for a BIG percentage of their packages....,news ,,07-23-2018 13:21:15,20498,85390,,
A Rocket has not been launched by North Korea in 9 months. Likewise no Nuclear Tests. Japan is happy all of Asia is happy. But the Fake News is saying without ever asking me (always anonymous sources) that I am angry because it is not going fast enough. Wrong very happy!,foreign_relations ,,07-23-2018 13:06:18,30489,126860,,
When you hear the Fake News talking negatively about my meeting with President Putin and all that I gave up remember I gave up NOTHING we merely talked about future benefits for both countries. Also we got along very well which is a good thing except for the Corrupt Media!,news ,,07-23-2018 12:25:02,24541,104142,,
.....”Carter Page wasn’t a spy wasn’t an agent of the Russians - he would have cooperated with the FBI. It was a fraud and a hoax designed to target Trump.” Tom Fitton @JudicialWatch A disgrace to America. They should drop the discredited Mueller Witch Hunt now!,collusion ,,07-23-2018 11:09:39,19773,75433,,
....and the DOJ FBI and Obama Gang need to be held to account. Source #1 was the major source. Avoided talking about it being the Clinton campaign behind it. Misled the Court to provide a pretext to SPY on the Trump Team. Not about Carter Page..was all about getting Trump.....,collusion ,,07-23-2018 11:01:15,22058,80632,,
“It was classified to cover up misconduct by the FBI and the Justice Department in misleading the Court by using this Dossier in a dishonest way to gain a warrant to target the Trump Team. This is a Clinton Campaign document. It was a fraud and a hoax designed to target Trump....,collusion ,,07-23-2018 10:52:10,25063,94003,,
So we now find out that it was indeed the unverified and Fake Dirty Dossier that was paid for by Crooked Hillary Clinton and the DNC that was knowingly &amp; falsely submitted to FISA and which was responsible for starting the totally conflicted and discredited Mueller Witch Hunt!,collusion ,,07-23-2018 10:30:11,28700,106276,,
Tom Fitton on @foxandfriends at 6:15 A.M. NOW! Judicial Watch.,news,,07-23-2018 10:13:52,7435,43616,,
To Iranian President Rouhani: NEVER EVER THREATEN THE UNITED STATES AGAIN OR YOU WILL SUFFER CONSEQUENCES THE LIKES OF WHICH FEW THROUGHOUT HISTORY HAVE EVER SUFFERED BEFORE. WE ARE NO LONGER A COUNTRY THAT WILL STAND FOR YOUR DEMENTED WORDS OF VIOLENCE &amp; DEATH. BE CAUTIOUS!,foreign_relations ,,07-23-2018 03:24:19,107757,332225,,
So President Obama knew about Russia before the Election. Why didn’t he do something about it? Why didn’t he tell our campaign? Because it is all a big hoax that’s why and he thought Crooked Hillary was going to win!!!,election,,07-22-2018 22:23:52,41545,156311,,
Happy Birthday @SenatorDole! https://t.co/MiVoB7qC6A,random_kindness,,07-22-2018 20:58:44,8874,54407,,
I had a GREAT meeting with Putin and the Fake News used every bit of their energy to try and disparage it. So bad for our country!,news ,,07-22-2018 13:15:18,22520,107819,,
.@PeteHegseth on @FoxNews  “Source #1 was the (Fake) Dossier. Yes the Dirty Dossier paid for by Democrats as a hit piece against Trump and looking for information that could discredit Candidate #1 Trump. Carter Page was just the foot to surveil the Trump campaign...” ILLEGAL!,collusion ,,07-22-2018 12:56:15,21089,76806,,
Andrew McCarthy - “I said this could never happen. This is so bad that they should be looking at the judges who signed off on this stuff not just the people who gave it. It is so bad it screams out at you.”  On the whole FISA scam which led to the rigged Mueller Witch Hunt!,collusion ,,07-22-2018 12:22:49,34649,120280,,
Looking more &amp; more like the Trump Campaign for President was illegally being spied upon (surveillance) for the political gain of Crooked Hillary Clinton and the DNC. Ask her how that worked out - she did better with Crazy Bernie. Republicans must get tough now. An illegal Scam!,collusion ,,07-22-2018 10:49:25,33001,120227,,
Congratulations to @JudicialWatch and @TomFitton on being successful in getting the Carter Page FISA documents. As usual they are ridiculously heavily redacted but confirm with little doubt that the Department of “Justice” and FBI misled the courts. Witch Hunt Rigged a Scam!,random_kindness ,,07-22-2018 10:28:40,26923,90752,,
Watching Los Angeles possible hostage situation very closely. Active barricaded suspect. L.A.P.D. working with Federal Law Enforcement.,current_events,,07-22-2018 00:21:01,7779,32432,,
Troy Balderson of Ohio is running for Congress against a Nancy Pelosi Liberal who is WEAK on Crime &amp; Borders. Troy is the total opposite and loves our Military Vets &amp; 2nd Amendment. EARLY VOTING just started with Election Day on August 7th. Troy has my Full &amp; Total Endorsement!,election ,,07-21-2018 23:23:34,25924,97108,,
Brian Kemp who is running for Governor of Georgia and has my full endorsement is campaigning tonight with VP @mike_pence. Brian is very strong on Crime and Borders LOVES our Military Vets and the 2nd Amendment. He will be a GREAT Governor!,election,,07-21-2018 23:10:57,16345,66429,,
Brian Kemp who is running for Governor of Georgia and has my full endorsement is campaigning tonight with @MikePenceVP. Brian is very strong on Crime and Borders LOVES our Military Vets and the 2nd Amendment. He will be a GREAT Governor!,election,,07-21-2018 23:00:42,1647,5717,,
No Collusion No Obstruction - but that doesn’t matter because the 13 Angry Democrats who are only after Republicans and totally protecting Democrats want this Witch Hunt to drag out to the November Election. Republicans better get smart fast and expose what they are doing!,collusion ,,07-21-2018 22:50:38,28590,101514,,
The Rigged Witch Hunt headed by the 13 Angry Democrats (and now 4 more have been added one who worked directly for Obama W.H.) seems intent on damaging the Republican Party’s chances in the November Election. This Democrat excuse for losing the ‘16 Election never ends!,collusion ,,07-21-2018 22:40:06,23415,91436,,
Inconceivable that the government would break into a lawyer’s office (early in the morning) - almost unheard of. Even more inconceivable that a lawyer would tape a client - totally unheard of &amp; perhaps illegal. The good news is that your favorite President did nothing wrong!,collusion ,,07-21-2018 12:10:58,40787,179931,,
The NFL National Anthem Debate is alive and well again - can’t believe it! Isn’t it in contract that players must stand at attention hand on heart? The $40000000 Commissioner must now make a stand. First time kneeling out for game. Second time kneeling out for season/no pay!,current_events,,07-20-2018 22:17:21,30295,127161,,
I got severely criticized by the Fake News Media for being too nice to President Putin. In the Old Days they would call it Diplomacy. If I was loud &amp; vicious I would have been criticized for being too tough. Remember when they said I was too tough with Chairman Kim? Hypocrites!,news ,,07-20-2018 21:50:30,37244,153003,,
So important. Should have been done years ago! https://t.co/TFIqsaZWBt,foreign_relations ,,07-20-2018 14:35:49,12881,56868,,
Farmers have been on a downward trend for 15 years. The price of soybeans has fallen 50% since 5 years before the Election. A big reason is bad (terrible) Trade Deals with other countries. They put on massive Tariffs and Barriers. Canada charges 275% on Dairy. Farmers will WIN!,foreign_relations ,,07-20-2018 13:04:44,18755,75987,,
....The United States should not be penalized because we are doing so well. Tightening now hurts all that we have done. The U.S. should be allowed to recapture what was lost due to illegal currency manipulation and BAD Trade Deals. Debt coming due &amp; we are raising rates - Really?,foreign_relations ,,07-20-2018 12:51:45,20108,87449,,
China the European Union and others have been manipulating their currencies and interest rates lower while the U.S. is raising rates while the dollars gets stronger and stronger with each passing day - taking away our big competitive edge. As usual not a level playing field...,foreign_relations ,,07-20-2018 12:43:05,17104,70562,,
My deepest sympathies to the families and friends of those involved in the terrible boat accident which just took place in Missouri. Such a tragedy such a great loss. May God be with you all!,random_kindness,,07-20-2018 12:31:18,17054,86807,,
Will the Dems and Fake News ever learn? This is classic! https://t.co/kSX3ROI4QG,news ,,07-19-2018 18:14:25,42344,114026,,
“Trump recognized Russian Meddling MANY TIMES” https://t.co/T8MERS93wI,collusion ,,07-19-2018 13:35:21,15033,53909,,
....proliferation cyber attacks trade Ukraine Middle East peace North Korea and more. There are many answers some easy and some hard to these problems...but they can ALL be solved!,collusion ,,07-19-2018 13:30:11,16336,72109,,
“Trump recognized Russian Meddling MANY TIMES.” https://t.co/Da8T8SUsCE,collusion ,,07-19-2018 13:27:03,809,2539,,
The Summit with Russia was a great success except with the real enemy of the people the Fake News Media. I look forward to our second meeting so that we can start implementing some of the many things discussed including stopping terrorism security for Israel nuclear........,news ,,07-19-2018 13:24:58,23783,101069,,
I told you so! The European Union just slapped a Five Billion Dollar fine on one of our great companies Google. They truly have taken advantage of the U.S. but not for long!,foreign_relations ,,07-19-2018 13:11:17,24778,98835,,
Really big economy meeting today at the White House! 3 P.M.,economy,,07-19-2018 11:37:25,11311,62129,,
“Trump recognized Russian Meddling MANY TIMES.” Thank you to @foxandfriends and @FoxNews for actually showing the clips. The Fake News wants no part of that narrative! Too bad they don’t want to focus on all of the ECONOMIC and Economy records being set.,news ,,07-19-2018 11:13:48,17120,69609,,
The Fake News Media wants so badly to see a major confrontation with Russia even a confrontation that could lead to war. They are pushing so recklessly hard and hate the fact that I’ll probably have a good relationship with Putin. We are doing MUCH better than any other country!,news ,,07-19-2018 10:59:26,22658,91171,,
The Fake News Media is going Crazy! They make up stories without any backup sources or proof. Many of the stories written about me and the good people surrounding me are total fiction. Problem is when you complain you just give them more publicity. But I’ll complain anyway!,news ,,07-19-2018 10:37:57,26071,114313,,
The Democrats have a death wish in more ways than one - they actually want to abolish ICE. This should cost them heavily in the Midterms. Yesterday the Republicans overwhelmingly passed a bill supporting ICE!,border_security,,07-19-2018 10:29:15,18853,78801,,
